"handle","followers","following","retweet"
"Tara54747985",91,81,false
"allofmcr",15796,763,false
"MissASmith1",10,28,false
"Wednesday9",321,868,false
"nspugh",5252,4523,false
"nspugh",5252,4523,false
"koatv",511,2279,false
"ecovibeuk",580,1166,false
"surojit_parui",387,159,false
"BB_Bloggers",8083,2189,false
"rinse001",4930,5706,false
"wwwgalelaurecom",3179,2649,false
"kerryaskin",55,158,false
"netballwoman",292,101,false
"AnnJMacKenzie",410,362,false
"JenniferWB",988,1093,false
"AbiBrown1",4159,2062,false
"InfTodForum",1337,231,false
"GiveBloodNHS",87885,13323,false
"LizSaldanaNYC",1495,1110,false
"GayHenson10",7,168,false
"wainwra",1564,4506,false
"nickblaney1",12,49,false
"weightLossHub24",258,92,false
"DarrenEmoji",1321,1215,false
"lucyaburt",282,138,false
"amordivino20131",50117,53227,false
"dragonf51085478",25,83,false
"gastropod225061",821,926,false
"aplaceinthesun",16766,463,false
"UKScreenSkills",67646,405,false
"SpringerNature",30497,1877,false
"Opera_North",37927,3055,false
"reycabalejo",59,481,false
"terencescarter",2315,2424,false
"weightofmywrlds",1024,1625,false
"alain_rohrbach",6,37,false
"lilian8090",45927,16900,false
"Felunis",7,99,false
"monkeygntoheavn",133,222,false
"pongosapien",2226,1965,false
"jenisanderson",1204,1797,false
"MaytumElaine",98,330,false
"NewmanEJ",7207,997,false
"UKBloggersRT",1437,456,false
"DeborahTheaker",1068,1579,false
"annaorton",818,1377,false
"DoroFischer",1074,1401,false
"tshirtman",508,203,false
"frustrated_Admi",57,238,false
"RegalSausage",512,312,false
"Ember_GN",1171,1134,false"handle","followers","following","retweet"
"runswithpencil",5299,2821,false
"FantasiaVillas",1950,562,false
"evepoole",2368,385,false
"jacaranga73",105,178,false
"stevebivans",7896,8431,false
"MutedIrish",111,396,false
"schmidt_fu",754,3383,false
"_open_science_",8047,107,false
"StNPaedsCharly",212,260,false
"Stationhotelny",709,2140,false
"triciagarcia31",288,75,false
"ScicommBot",2197,1,false
"allythurber",1001,1036,false
"SamuraiGangHQ",1174,1975,false
"VSStangl",1594,1904,false
"amandahwithanh",107,353,false
"jo_bk",390,371,false
"thekiltwalk",8372,1441,false
"scottishscicomm",1848,2460,false
"GarethGRafferty",335,86,false
"effyescudero",21726,1206,false
"akomama_tm",17973,12613,false
"livingpodcast",343,96,false
"ivhq",10802,7315,false
"StnNurseSarah",329,537,false
"w_karve",1767,2167,false
"SaraGomezAranci",2026,497,false
"keepfighting150",7217,5723,false
"SenoraCT",1640,1152,false
"marshaspanswick",20,206,false
"rashedhaq89",71,215,false
"alfoster1983",2,16,false
"MrsLFlower",911,1228,false
"TearfundAct",5946,2487,false
"bhavyaxoxo",456,51,false
"david_a_barnes",1608,728,false
"37Mignon",14,24,false
"RyanRobr",809,1391,false
"SH_nutrition",1755,996,false
"JonnyB_24HTiger",1325,2322,false
"Annjojen1",136,235,false
"screenyorkshire",17328,4153,false
"ashepherdson2",12,53,false
"RockInfestation",0,5,false
"marhiver",107,70,false
"sorrell_sorrell",8,27,false
"us_barker",12,21,false
"20Sheenu",982,1624,false
"MbsEvolve",28,273,false
"LucindaRhodes",6540,5348,false
"hydrospike",1095,1034,false
"ActressRachael",153,437,false
"arthfach",136,187,false
"poetrybymario",1047,2349,false
"poetrybymario",1047,2349,false
"LolLolLand1",75,222,false
"leftybearcub",716,437,false
"rotherhamnasuwt",442,253,false
"ProBreadButter",2030,3011,false
"Klickfieapp",132,1,false
"stevehotspurs",1152,1185,false
"stevehotspurs",1152,1185,false
"NMubengay",221,1831,false
"EdSupportUK",24702,6198,false
"SWLynnCosham",195,535,false
"walliewombat",77,161,false
"lize57846714",5,201,false
"ConstructionAjg",464,565,false
"tripleplates",810,8,false
"racheltulina",26,24,false
"iowremainer",31,75,false
"0Nyktophilia0",5,83,false
"heba_najadat",37,56,false
"cwpcathy",60,76,false
"jd2b1999",2689,3449,false
"IntrovertedPath",20,213,false
"CicFutures",225,1164,false
"Natalie_StN",822,1013,false
"belvedere_club",62,479,false
"vijeysingh",11,22,false
"TommyLe30647524",44,267,false
"imeerage",16340,533,false
"HKoutThere",219,347,false
"MusicalAbhi3",0,0,false
"DrJoyceC",267,215,false
"auslandbasler",27,74,false
"msgt_n",338,921,false
"BorthwickKathy",16703,17947,false
"AngelaAngalcina",770,1074,false
"LnVdOB",3897,1220,false
"Howettcatherine",89,244,false
"GreenTechEnv",402,400,false
"life_bus_lane",682,2985,false
"ewomaau",173,309,false
"KinsleyJerry",159,403,false
"2HappyKittyz",1685,1974,false
"stanbaluscang",2876,4672,false
"paintme_in",28,80,false
"_Connectivist_",122,116,false
"RDTBook",11576,12673,false"handle","followers","following","retweet"
"RobRobbEdwards",89635,90374,false
"AmanBhouria",3018,4804,false
"acoriano39",83,153,false
"nisegrimm93",23281,21490,false
"AnthonyReaves5",49,226,false
"ZazuRules",4899,4268,false
"14StaciePUNC",1561,3739,false
"amitsawhney19",17,84,false
"ZRainribbon",4796,4828,false
"Fah_Lo_Me",20806,20412,false
"Mrskinnnny",1,4,false
"bloomin3pa",1744,1998,false
"Lovesack2",116,60,false
"briementalheal1",61,189,false
"ShilaniLivaLiva",184,1207,false
"3drenderbot",2975,4,false
"totalassignment",150,35,false
"CorporateGalaxy",649,1907,false
"TweetsToMyChild",5,19,false
"Ettutharayil012",8,74,false
"Jeankellie1",80,93,false
"Shortie9412",259,1142,false
"lotmaxx",21,71,false
"Whatvrhoehoe",53,739,false
"Quibellp",23437,16616,false
"indigodoyle",440,1600,false
"TheIndieMixer",163,396,false
"OrengeNyabuto",2317,2274,false
"gard_trudi",57,53,false
"MaureenCady2",10371,10547,false
"AnalyticaGlobal",1786,1,false
"501China",1015,656,false
"tojasonharris",289,106,false
"PandaGetsHangry",2492,2295,false
"electronicsperu",32,233,false
"dale_hargett",271,419,false
"ChinaPlusNews",767864,244,false
"jajones338",20684,19773,false
"vishal_bhansali",91,519,false
"siddhanth_2476",68,293,false
"KathyConcerned",280,376,false
"antara_oruganti",5891,6268,false
"Blade_pfeifer",275,369,false
"TheAlbyMetevier",29007,19526,false
"gioclair",36565,34280,false
"EcoExpert1",5444,3813,false
"MarriotPleasant",1297,1157,false
"therookiecritic",1025,766,false
"AWorkoutWarrior",273,16,false
"GoogleMyrna",57,645,false
"sohaib_mustafa",1444,917,false
"thesovrangroup",3385,124,false
"kkroess",960,2022,false
"joshh_8888",492,3075,false
"KarenATTaylor",8152,7957,false
"ZueMaldonado",2,133,false
"adorothyrmc",1570,2031,false
"brittishbard",80,398,false
"jocowboys87",7798,7705,false
"HealthyPasco",326,407,false
"QuotesBot1",832,2,false
"karinasarvary",18,62,false
"glowingcanary",1682,1813,false
"AlanaSc48488483",8,26,false
"RJanesRealm",9,93,false
"DawnelleMalone",521,1748,false
